Months,Type,Amount
January,Revenue,0.00
January,Gross Profit and Operating Profit,0.00
January,Expenses,0.00
February,Revenue,0.00
February,Gross Profit and Operating Profit,0.00
February,Expenses,0.00
March,Revenue,0.00
March,Gross Profit and Operating Profit,0.00
March,Expenses,51.39
April,Revenue,35.00
April,Gross Profit and Operating Profit,0.00
April,Expenses,0.00
May,Revenue,"5,880.00"
May,Gross Profit and Operating Profit,"4,999.68"
May,Expenses,880.32
June,Revenue,"7,840.00"
June,Gross Profit and Operating Profit,"6,666.24"
June,Expenses,"1,173.76"
July,Revenue,"7,841.00"
July,Gross Profit and Operating Profit,"6,666.24"
July,Expenses,"1,174.76"
August,Revenue,"7,842.00"
August,Gross Profit and Operating Profit,"6,666.24"
August,Expenses,"1,175.76"
September,Revenue,"7,843.00"
September,Gross Profit and Operating Profit,"6,666.24"
September,Expenses,"1,176.76"
October,Revenue,"7,844.00"
October,Gross Profit and Operating Profit,"6,666.24"
October,Expenses,"1,177.76"
November,Revenue,"7,845.00"
November,Gross Profit and Operating Profit,"6,666.24"
November,Expenses,"1,178.76"
December,Revenue,"7,846.00"
December,Gross Profit and Operating Profit,"6,666.24"
December,Expenses,"1,179.76"
